yourlist:M201705058A530B6CA0138AFAA6D2B97CE8C2A924D0C2A2K	Entry	Entry name	Protein names	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Organism
W4VSC2	W4VSC2	PE1_TRILK	Peptide 1 (Prokineticin-1)						Trittame loki (Brush-footed trapdoor spider)
Q9ZWS7	Q9ZWS7	ARR7_ARATH	Two-component response regulator ARR7	ARR7 At1g19050 F14D16.20	ARR7		At1g19050	F14D16.20	Arabidopsis thaliana (Mouse-ear cress)
Q9ZWS6	Q9ZWS6	ARR6_ARATH	Two-component response regulator ARR6	ARR6 At5g62920 MQB2.220 MQB2.24	ARR6		At5g62920	MQB2.220 MQB2.24	Arabidopsis thaliana (Mouse-ear cress)
Q9ZWM9	Q9ZWM9	RAV1_ARATH	AP2/ERF and B3 domain-containing transcription factor RAV1 (Ethylene-responsive transcription factor RAV1) (Protein RELATED TO ABI3/VP1 1)	RAV1 At1g13260 T6J4.2	RAV1		At1g13260	T6J4.2	Arabidopsis thaliana (Mouse-ear cress)
Q9ZWC6	Q9ZWC6	ATB_ARATH	F-box protein At-B	ATB At1g55590 F20N2.2	ATB		At1g55590	F20N2.2	Arabidopsis thaliana (Mouse-ear cress)
Q9ZWA8	Q9ZWA8	FLA9_ARATH	Fasciclin-like arabinogalactan protein 9	FLA9 At1g03870 F21M11.20	FLA9		At1g03870	F21M11.20	Arabidopsis thaliana (Mouse-ear cress)
Q9ZW34	Q9ZW34	ENO3_ARATH	Cytosolic enolase 3 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase 3) (2-phosphoglycerate dehydratase 3)	ENO3 ENOC At2g29560 F16P2.6	ENO3	ENOC	At2g29560	F16P2.6	Arabidopsis thaliana (Mouse-ear cress)
Q9ZW22	Q9ZW22	SMO21_ARATH	Methylsterol monooxygenase 2-1 (EC 1.14.13.72) (Sterol 4-alpha-methyl-oxidase 2) (AtSMO2) (Sterol 4-alpha-methyl-oxidase 2-1)	SMO2-1 SMO2 At2g29390 F16P2.23	SMO2-1	SMO2	At2g29390	F16P2.23	Arabidopsis thaliana (Mouse-ear cress)
Q9ZW19	Q9ZW19	TRNHC_ARATH	Tropinone reductase homolog At2g29360 (EC 1.1.1.-)	SDR At2g29360 F16P2.26	SDR		At2g29360	F16P2.26	Arabidopsis thaliana (Mouse-ear cress)
Q9ZW18	Q9ZW18	SAG13_ARATH	Senescence-associated protein 13 (Tropinone reductase homolog SAG13) (EC 1.1.1.-)	SAG13 At2g29350 F16P2.27	SAG13		At2g29350	F16P2.27	Arabidopsis thaliana (Mouse-ear cress)
Q9ZVX2	Q9ZVX2	AMS_ARATH	Transcription factor ABORTED MICROSPORES (Basic helix-loop-helix protein 21) (AtbHLH21) (bHLH 21) (Transcription factor EN 48) (bHLH transcription factor bHLH021)	AMS BHLH21 EN48 At2g16910 F12A24.9	AMS	BHLH21 EN48	At2g16910	F12A24.9	Arabidopsis thaliana (Mouse-ear cress)
Q9ZVT8	Q9ZVT8	RF4_ARATH	Putative E3 ubiquitin-protein ligase RF4 (EC 2.3.2.27) (RING finger protein 4) (RING-type E3 ubiquitin transferase RF4)	RF4 At1g03365 F15K9.3	RF4		At1g03365	F15K9.3	Arabidopsis thaliana (Mouse-ear cress)
Q9ZVN6	Q9ZVN6	AP180_ARATH	Clathrin coat assembly protein AP180 (At-AP180) (Clathrin coat-associated protein AP180)	AP180 At1g05020 T7A14.11	AP180		At1g05020	T7A14.11	Arabidopsis thaliana (Mouse-ear cress)
